날짜,가맹점,카테고리,금액,결제수단
2026-05-01,교보문고 광화문점,자기계발,28400,신용카드
2026-05-02,스타벅스 합정역점,외식·음료,6800,신용카드
2026-05-02,서울교통공사,교통,1550,체크카드
2026-05-02,동대문엽기떡볶이(점심),외식·음료,12500,신용카드
2026-05-02,서울교통공사,교통,1550,체크카드
2026-05-03,홈플러스 합정점,장보기,68700,체크카드
2026-05-03,투썸플레이스 망원점,외식·음료,5800,신용카드
2026-05-03,넷플릭스,구독,17000,신용카드
2026-05-04,쿠팡와우 멤버십,구독,7890,신용카드
2026-05-04,을지로 갈매기살(저녁),외식·음료,42000,신용카드
2026-05-05,GS25 합정역점,간식,4200,체크카드
2026-05-06,서울교통공사,교통,1550,체크카드
2026-05-06,블루보틀 합정점(클라이언트 미팅),외식·음료,11600,신용카드
2026-05-06,김밥천국(점심),외식·음료,7000,신용카드
2026-05-06,서울교통공사,교통,1550,체크카드
2026-05-07,서울교통공사,교통,1550,체크카드
2026-05-07,서브웨이 합정점(점심),외식·음료,9300,신용카드
2026-05-07,팀 회식 — 칸다소바 마포점,외식·음료,87000,신용카드
2026-05-07,GS25 합정역점,간식,5800,체크카드
2026-05-08,서울교통공사,교통,1550,체크카드
2026-05-08,바이러닝커피(점심 미팅),외식·음료,8400,신용카드
2026-05-08,스타벅스 광화문점,외식·음료,6500,신용카드
2026-05-09,서울교통공사,교통,1550,체크카드
2026-05-09,파리바게뜨(점심),외식·음료,7800,신용카드
2026-05-09,올리브영 합정점,개인 관리,38400,신용카드
2026-05-10,홈플러스 합정점,장보기,52400,체크카드
2026-05-10,한국전력공사,공과금,42300,자동이체
2026-05-10,서울도시가스,공과금,17000,자동이체
2026-05-10,국민건강보험공단,공과금,182600,자동이체
2026-05-11,왓챠,구독,12900,신용카드
2026-05-11,왓더씨푸드(브런치),외식·음료,28000,신용카드
2026-05-11,망원시장 디저트,외식·음료,5500,체크카드
2026-05-12,넷플릭스,구독,17000,신용카드
2026-05-12,ChatGPT Plus,구독,28000,신용카드
2026-05-12,Notion Pro,구독,11800,신용카드
2026-05-13,서울교통공사,교통,1550,체크카드
2026-05-13,스타벅스 합정역점(점심),외식·음료,8400,신용카드
2026-05-13,서울교통공사,교통,1550,체크카드
2026-05-13,교보문고 합정점,자기계발,18900,신용카드
2026-05-14,서울교통공사,교통,1550,체크카드
2026-05-14,롯데리아(점심),외식·음료,9500,신용카드
2026-05-14,투썸플레이스 광화문점(미팅),외식·음료,15200,신용카드
2026-05-14,서울교통공사,교통,1550,체크카드
2026-05-15,서울교통공사,교통,1550,체크카드
2026-05-15,한솥도시락(점심),외식·음료,6500,신용카드
2026-05-15,GS25 합정역점,간식,3800,체크카드
2026-05-15,홈플러스 합정점(주말 장보기),장보기,71200,체크카드
2026-05-16,서울교통공사,교통,1550,체크카드
2026-05-16,써브웨이(점심),외식·음료,9300,신용카드
2026-05-16,서울교통공사,교통,1550,체크카드
2026-05-16,망원동 막창집(친구 저녁),외식·음료,42000,신용카드
2026-05-17,CGV 합정,여가,14000,신용카드
2026-05-17,교촌치킨(저녁),외식·음료,24000,신용카드
2026-05-18,망원시장 브런치,외식·음료,18500,신용카드
2026-05-18,한강공원 자전거,여가,5000,신용카드
2026-05-19,서울교통공사,교통,1550,체크카드
2026-05-19,동네 한식당(점심),외식·음료,11000,신용카드
2026-05-19,바디프로필 헬스장 5월권,개인 관리,98000,신용카드
2026-05-19,서울교통공사,교통,1550,체크카드
2026-05-20,서울교통공사,교통,1550,체크카드
2026-05-20,투썸플레이스 합정역(점심),외식·음료,8400,신용카드
2026-05-20,팀 회식 — 새벽집(저녁),외식·음료,76000,신용카드
2026-05-21,서울교통공사,교통,1550,체크카드
2026-05-21,서브웨이(점심),외식·음료,9300,신용카드
2026-05-21,약국(상비약),건강,12800,신용카드
2026-05-21,서울교통공사,교통,1550,체크카드
2026-05-22,서울교통공사,교통,1550,체크카드
2026-05-22,동네 카페(점심 도시락),외식·음료,7500,신용카드
2026-05-22,스타벅스 광화문점,외식·음료,6500,신용카드
2026-05-22,서울교통공사,교통,1550,체크카드
2026-05-23,쿠팡(생필품·세제·휴지),생활용품,38400,신용카드
2026-05-23,홈플러스 합정점,장보기,42100,체크카드
2026-05-24,망원시장 떡볶이(친구),외식·음료,12000,신용카드
2026-05-24,L 미용실(컷+염색),개인 관리,128000,신용카드
2026-05-24,GS25 합정역점,간식,5200,체크카드
2026-05-25,적금 자동이체(KB),저축,300000,자동이체
2026-05-25,스타벅스 합정역점,외식·음료,6500,신용카드
2026-05-26,서울교통공사,교통,1550,체크카드
2026-05-26,한솥도시락(점심),외식·음료,6500,신용카드
2026-05-26,서울교통공사,교통,1550,체크카드
2026-05-26,월세 자동이체(임대인),주거,800000,자동이체
2026-05-27,서울교통공사,교통,1550,체크카드
2026-05-27,서브웨이(점심),외식·음료,9300,신용카드
2026-05-27,교보문고 합정점,자기계발,24900,신용카드
2026-05-27,서울교통공사,교통,1550,체크카드
2026-05-28,서울교통공사,교통,1550,체크카드
2026-05-28,써브웨이(점심),외식·음료,9300,신용카드
2026-05-28,클라이언트 미팅 — 부암동 한정식,외식·음료,68000,신용카드
2026-05-28,서울교통공사,교통,1550,체크카드
2026-05-29,서울교통공사,교통,1550,체크카드
2026-05-29,블루보틀 광화문점(점심),외식·음료,11600,신용카드
2026-05-29,스타벅스 합정역점,외식·음료,6500,신용카드
2026-05-29,서울교통공사,교통,1550,체크카드
2026-05-30,홈플러스 합정점,장보기,48700,체크카드
2026-05-30,망원동 와인바(친구 저녁),외식·음료,52000,신용카드
2026-05-31,망원시장 브런치,외식·음료,16500,신용카드
2026-05-31,한강공원 산책 + 편의점,간식,7800,체크카드
